Название;Картинка;Описание;Доставка;Ссылка на детализацию
LIDHULT ЛИДГУЛЬТ;https://www.ikea.com/ru/ru/images/products/lidhult-lidgult-3-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy__0620126_pe689437_s5.jpg?f=xxs;3-местный диван;[];https://www.ikea.com/ru/ru/p/lidhult-lidgult-3-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s39257141/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy__0817650_pe774074_s5.jpg?f=xxs;4-местный угловой диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy-s29306726/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-6-mestnyy-p-obraznyy-divan-s-otkrytym-torcom-grann-bumstad-chernyy__0817703_pe774107_s5.jpg?f=xxs;6-местный п-образный диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-6-mestnyy-p-obraznyy-divan-s-otkrytym-torcom-grann-bumstad-chernyy-s49306787/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-3-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-chernyy__0817687_pe774105_s5.jpg?f=xxs;3-местный угловой диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-chernyy-s39306759/
LIDHULT ЛИДГУЛЬТ;https://www.ikea.com/ru/ru/images/products/lidhult-lidgult-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy__0620080_pe689391_s5.jpg?f=xxs;4-местный угловой диван;[];https://www.ikea.com/ru/ru/p/lidhult-lidgult-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy-s09275622/
LIDHULT ЛИДГУЛЬТ;https://www.ikea.com/ru/ru/images/products/lidhult-lidgult-5-mestnyy-uglovoy-divan-grann-bumstad-temno-korichnevyy__0619287_pe688997_s5.jpg?f=xxs;5-местный угловой диван;[];https://www.ikea.com/ru/ru/p/lidhult-lidgult-5-mestnyy-uglovoy-divan-grann-bumstad-temno-korichnevyy-s39257396/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-5-mestnyy-uglovoy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy__0817694_pe776084_s5.jpg?f=xxs;5-местный угловой диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-5-mestnyy-uglovoy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s89306771/
LIDHULT ЛИДГУЛЬТ;https://www.ikea.com/ru/ru/images/products/lidhult-lidgult-4-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy__0667797_pe714080_s5.jpg?f=xxs;4-местный диван;[];https://www.ikea.com/ru/ru/p/lidhult-lidgult-4-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s09292042/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-4-mestnyy-uglovoy-divan-s-otkrytym-torcom-s-podgolovnikami-grann-bumstad-zolotisto-korichnevyy__0817202_pe773902_s5.jpg?f=xxs;4-местный угловой диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-uglovoy-divan-s-otkrytym-torcom-s-podgolovnikami-grann-bumstad-zolotisto-korichnevyy-s79306286/
LIDHULT ЛИДГУЛЬТ;https://www.ikea.com/ru/ru/images/products/lidhult-lidgult-5-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-temno-korichnevyy__0620301_pe689612_s5.jpg?f=xxs;5-местный угловой диван;[];https://www.ikea.com/ru/ru/p/lidhult-lidgult-5-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-temno-korichnevyy-s99276028/
